exec_date,date,entity,year,period,value,forecast,ci_inf,ci_sup
2020-11-13 14:19:17.644218,2017-01-01,00000,2017.0,1.0,222115,,,
2020-11-13 14:19:17.644218,2017-01-29,00000,2017.0,2.0,254622,,,
2020-11-13 14:19:17.644218,2017-02-26,00000,2017.0,3.0,233639,,,
2020-11-13 14:19:17.644218,2017-03-26,00000,2017.0,4.0,235367,,,
2020-11-13 14:19:17.644218,2017-04-23,00000,2017.0,5.0,247005,,,
2020-11-13 14:19:17.644218,2017-05-21,00000,2017.0,6.0,246873,,,
2020-11-13 14:19:17.644218,2017-06-18,00000,2017.0,7.0,235019,,,
2020-11-13 14:19:17.644218,2017-07-16,00000,2017.0,8.0,236619,,,
2020-11-13 14:19:17.644218,2017-08-13,00000,2017.0,9.0,249940,,,
2020-11-13 14:19:17.644218,2017-09-10,00000,2017.0,10.0,232643,,,
2020-11-13 14:19:17.644218,2017-10-08,00000,2017.0,11.0,255349,,,
2020-11-13 14:19:17.644218,2017-11-05,00000,2017.0,12.0,225214,,,
2020-11-13 14:19:17.644218,2017-12-03,00000,2017.0,13.0,211202,,,
2020-11-13 14:19:17.644218,2017-12-31,00000,2018.0,1.0,255771,,,
2020-11-13 14:19:17.644218,2018-01-28,00000,2018.0,2.0,293997,,,
2020-11-13 14:19:17.644218,2018-02-25,00000,2018.0,3.0,279657,,,
2020-11-13 14:19:17.644218,2018-03-25,00000,2018.0,4.0,262041,,,
2020-11-13 14:19:17.644218,2018-04-22,00000,2018.0,5.0,254924,,,
2020-11-13 14:19:17.644218,2018-05-20,00000,2018.0,6.0,249484,,,
2020-11-13 14:19:17.644218,2018-06-17,00000,2018.0,7.0,236555,,,
2020-11-13 14:19:17.644218,2018-07-15,00000,2018.0,8.0,239079,,,
2020-11-13 14:19:17.644218,2018-08-12,00000,2018.0,9.0,246852,,,
2020-11-13 14:19:17.644218,2018-09-09,00000,2018.0,10.0,246611,,,
2020-11-13 14:19:17.644218,2018-10-07,00000,2018.0,11.0,239531,,,
2020-11-13 14:19:17.644218,2018-11-04,00000,2018.0,12.0,223583,,,
2020-11-13 14:19:17.644218,2018-12-02,00000,2018.0,13.0,230050,,,
2020-11-13 14:19:17.644218,2018-12-30,00000,2019.0,1.0,289556,,,
2020-11-13 14:19:17.644218,2019-01-27,00000,2019.0,2.0,334325,,,
2020-11-13 14:19:17.644218,2019-02-24,00000,2019.0,3.0,325508,,,
2020-11-13 14:19:17.644218,2019-03-24,00000,2019.0,4.0,288364,,,
2020-11-13 14:19:17.644218,2019-04-21,00000,2019.0,5.0,262369,,,
2020-11-13 14:19:17.644218,2019-05-19,00000,2019.0,6.0,251147,,,
2020-11-13 14:19:17.644218,2019-06-16,00000,2019.0,7.0,235607,,,
2020-11-13 14:19:17.644218,2019-07-14,00000,2019.0,8.0,240705,,,
2020-11-13 14:19:17.644218,2019-08-11,00000,2019.0,9.0,243826,,,
2020-11-13 14:19:17.644218,2019-09-08,00000,2019.0,10.0,259787,,,
2020-11-13 14:19:17.644218,2019-10-06,00000,2019.0,11.0,223615,,,
2020-11-13 14:19:17.644218,2019-11-03,00000,2019.0,12.0,221033,,,
2020-11-13 14:19:17.644218,2019-12-01,00000,2019.0,13.0,252056,,,
2020-11-13 14:19:17.644218,2019-12-29,00000,2020.0,1.0,234792,,,
2020-11-13 14:19:17.644218,2020-01-26,00000,2020.0,2.0,286128,,,
2020-11-13 14:19:17.644218,2020-02-23,00000,2020.0,3.0,,290876,243286.97323949335,338465.30112245324
2020-11-13 14:19:17.644218,2020-03-22,00000,2020.0,4.0,,252184,182808.15913697745,321559.479764093
