date,entity,year,period,value,forecast,ci_inf,ci_sup
2017-01-01,00000,2017.0,1.0,1190,,,
2017-01-01,05000,2017.0,1.0,224,,,
2017-01-01,05001,2017.0,1.0,137,,,
2017-01-01,08000,2017.0,1.0,78,,,
2017-01-01,08001,2017.0,1.0,38,,,
2017-01-01,11001,2017.0,1.0,82,,,
2017-01-01,13000,2017.0,1.0,45,,,
2017-01-01,13001,2017.0,1.0,32,,,
2017-01-01,15000,2017.0,1.0,8,,,
2017-01-01,15001,2017.0,1.0,1,,,
2017-01-01,17000,2017.0,1.0,33,,,
2017-01-01,17001,2017.0,1.0,9,,,
2017-01-01,18000,2017.0,1.0,29,,,
2017-01-01,18001,2017.0,1.0,19,,,
2017-01-01,19000,2017.0,1.0,20,,,
2017-01-01,19001,2017.0,1.0,4,,,
2017-01-01,20000,2017.0,1.0,35,,,
2017-01-01,20001,2017.0,1.0,20,,,
2017-01-01,23000,2017.0,1.0,18,,,
2017-01-01,23001,2017.0,1.0,11,,,
2017-01-01,25000,2017.0,1.0,30,,,
2017-01-01,27000,2017.0,1.0,14,,,
2017-01-01,27001,2017.0,1.0,7,,,
2017-01-01,41000,2017.0,1.0,28,,,
2017-01-01,41001,2017.0,1.0,16,,,
2017-01-01,44000,2017.0,1.0,23,,,
2017-01-01,44001,2017.0,1.0,7,,,
2017-01-01,47000,2017.0,1.0,34,,,
2017-01-01,47001,2017.0,1.0,19,,,
2017-01-01,50000,2017.0,1.0,39,,,
2017-01-01,50001,2017.0,1.0,27,,,
2017-01-01,52000,2017.0,1.0,12,,,
2017-01-01,52001,2017.0,1.0,4,,,
2017-01-01,54000,2017.0,1.0,47,,,
2017-01-01,54001,2017.0,1.0,37,,,
2017-01-01,63000,2017.0,1.0,17,,,
2017-01-01,63001,2017.0,1.0,6,,,
2017-01-01,66000,2017.0,1.0,40,,,
2017-01-01,66001,2017.0,1.0,15,,,
2017-01-01,68000,2017.0,1.0,65,,,
2017-01-01,68001,2017.0,1.0,28,,,
2017-01-01,70000,2017.0,1.0,11,,,
2017-01-01,70001,2017.0,1.0,4,,,
2017-01-01,73000,2017.0,1.0,38,,,
2017-01-01,73001,2017.0,1.0,16,,,
2017-01-01,76000,2017.0,1.0,180,,,
2017-01-01,76001,2017.0,1.0,109,,,
2017-01-01,81000,2017.0,1.0,6,,,
2017-01-01,81001,2017.0,1.0,2,,,
2017-01-01,85000,2017.0,1.0,11,,,
2017-01-01,85001,2017.0,1.0,7,,,
2017-01-01,86000,2017.0,1.0,9,,,
2017-01-01,86001,2017.0,1.0,1,,,
2017-01-01,88000,2017.0,1.0,2,,,
2017-01-01,88001,2017.0,1.0,2,,,
2017-01-01,91000,2017.0,1.0,3,,,
2017-01-01,91001,2017.0,1.0,1,,,
2017-01-01,94000,2017.0,1.0,1,,,
2017-01-01,94001,2017.0,1.0,1,,,
2017-01-01,95000,2017.0,1.0,3,,,
2017-01-01,95001,2017.0,1.0,3,,,
2017-01-01,97000,2017.0,1.0,0,,,
2017-01-01,97001,2017.0,1.0,0,,,
2017-01-01,99000,2017.0,1.0,3,,,
2017-01-01,99001,2017.0,1.0,0,,,
2017-01-29,00000,2017.0,2.0,1188,,,
2017-01-29,05000,2017.0,2.0,218,,,
2017-01-29,05001,2017.0,2.0,138,,,
2017-01-29,08000,2017.0,2.0,81,,,
2017-01-29,08001,2017.0,2.0,55,,,
2017-01-29,11001,2017.0,2.0,85,,,
2017-01-29,13000,2017.0,2.0,41,,,
2017-01-29,13001,2017.0,2.0,26,,,
2017-01-29,15000,2017.0,2.0,8,,,
2017-01-29,15001,2017.0,2.0,0,,,
2017-01-29,17000,2017.0,2.0,38,,,
2017-01-29,17001,2017.0,2.0,17,,,
2017-01-29,18000,2017.0,2.0,28,,,
2017-01-29,18001,2017.0,2.0,15,,,
2017-01-29,19000,2017.0,2.0,16,,,
2017-01-29,19001,2017.0,2.0,4,,,
2017-01-29,20000,2017.0,2.0,25,,,
2017-01-29,20001,2017.0,2.0,13,,,
2017-01-29,23000,2017.0,2.0,18,,,
2017-01-29,23001,2017.0,2.0,7,,,
2017-01-29,25000,2017.0,2.0,28,,,
2017-01-29,27000,2017.0,2.0,22,,,
2017-01-29,27001,2017.0,2.0,13,,,
2017-01-29,41000,2017.0,2.0,33,,,
2017-01-29,41001,2017.0,2.0,17,,,
2017-01-29,44000,2017.0,2.0,28,,,
2017-01-29,44001,2017.0,2.0,6,,,
2017-01-29,47000,2017.0,2.0,27,,,
2017-01-29,47001,2017.0,2.0,17,,,
2017-01-29,50000,2017.0,2.0,52,,,
2017-01-29,50001,2017.0,2.0,30,,,
2017-01-29,52000,2017.0,2.0,8,,,
2017-01-29,52001,2017.0,2.0,0,,,
2017-01-29,54000,2017.0,2.0,34,,,
2017-01-29,54001,2017.0,2.0,23,,,
2017-01-29,63000,2017.0,2.0,16,,,
2017-01-29,63001,2017.0,2.0,11,,,
2017-01-29,66000,2017.0,2.0,52,,,
2017-01-29,66001,2017.0,2.0,27,,,
2017-01-29,68000,2017.0,2.0,44,,,
2017-01-29,68001,2017.0,2.0,23,,,
2017-01-29,70000,2017.0,2.0,10,,,
2017-01-29,70001,2017.0,2.0,5,,,
2017-01-29,73000,2017.0,2.0,31,,,
2017-01-29,73001,2017.0,2.0,13,,,
2017-01-29,76000,2017.0,2.0,194,,,
2017-01-29,76001,2017.0,2.0,128,,,
2017-01-29,81000,2017.0,2.0,9,,,
2017-01-29,81001,2017.0,2.0,4,,,
2017-01-29,85000,2017.0,2.0,16,,,
2017-01-29,85001,2017.0,2.0,10,,,
2017-01-29,86000,2017.0,2.0,14,,,
2017-01-29,86001,2017.0,2.0,3,,,
2017-01-29,88000,2017.0,2.0,0,,,
2017-01-29,88001,2017.0,2.0,0,,,
2017-01-29,91000,2017.0,2.0,3,,,
2017-01-29,91001,2017.0,2.0,2,,,
2017-01-29,94000,2017.0,2.0,2,,,
2017-01-29,94001,2017.0,2.0,0,,,
2017-01-29,95000,2017.0,2.0,4,,,
2017-01-29,95001,2017.0,2.0,4,,,
2017-01-29,97000,2017.0,2.0,0,,,
2017-01-29,97001,2017.0,2.0,0,,,
2017-01-29,99000,2017.0,2.0,1,,,
2017-01-29,99001,2017.0,2.0,0,,,
2017-02-26,00000,2017.0,3.0,1209,,,
2017-02-26,05000,2017.0,3.0,230,,,
2017-02-26,05001,2017.0,3.0,134,,,
2017-02-26,08000,2017.0,3.0,82,,,
2017-02-26,08001,2017.0,3.0,47,,,
2017-02-26,11001,2017.0,3.0,84,,,
2017-02-26,13000,2017.0,3.0,47,,,
2017-02-26,13001,2017.0,3.0,38,,,
2017-02-26,15000,2017.0,3.0,9,,,
2017-02-26,15001,2017.0,3.0,2,,,
2017-02-26,17000,2017.0,3.0,29,,,
